servertime,sensortype,deviceid,clienttime,x,y,z
1506846359797,accelerometer,7f43a7eaf750aac,1506846279894,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846280692,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846281492,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846282291,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846283090,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846283889,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846284690,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846285488,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846286285,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846287085,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846287885,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846288684,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846289482,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846290282,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846291080,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846291880,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846292679,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846293478,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846294275,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846295076,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846295875,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846296674,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846297472,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846298271,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846299071,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846299869,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846300669,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846301467,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846302267,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846303066,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846303864,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846304663,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846305463,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846306262,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846307060,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846307859,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846308659,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846309458,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846310257,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846311056,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846311855,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846312654,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846313453,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846314251,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846315051,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846315850,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846316649,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846317447,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846318246,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846319046,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846319844,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846320643,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846321442,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846322242,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846323041,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846323840,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846324638,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846325438,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846326237,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846327035,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846327835,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846328633,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846329432,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846330231,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846331031,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846331830,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846332628,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846333427,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846334227,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846335025,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846335824,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846336623,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846337422,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846338222,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846339021,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846339820,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846340619,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846341417,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846342216,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846343015,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846343814,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846344614,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846345412,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846346211,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846347011,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846347810,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846348608,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846349408,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846350207,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846351005,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846351804,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846352603,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846353402,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846354202,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846355001,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846355799,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846356598,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846357398,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846358195,9.77631,2.23517e-7,0.812348
1506846359797,accelerometer,7f43a7eaf750aac,1506846358999,9.77631,2.23517e-7,0.812348
